m0,m1,m2,j,FOV,globX,globY,Names,cell_ID,cell_center_X,cell_center_Y,cell_center_globX,cell_center_globY,cell_number,cell_globID
0,1553,1974,0,3,2705.0,16489.0,Vglut1,1947,1195.4521668029436,233.14063777596076,9489.452166802943,16821.14063777596,1947_3,4889
0,1553,1998,0,3,2705.0,16513.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1554,2006,0,3,2706.0,16521.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1555,2078,0,3,2707.0,16593.0,Vglut1,1970,1223.140350877193,2270.370927318296,9517.140350877193,18858.370927318298,1970_3,4906
0,1556,1969,0,3,2708.0,16484.0,Vglut1,1947,1195.4521668029436,233.14063777596076,9489.452166802943,16821.14063777596,1947_3,4889
0,1558,2023,0,3,2710.0,16538.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1559,2004,0,3,2711.0,16519.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1560,1985,0,3,2712.0,16500.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1561,1991,0,3,2713.0,16506.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1562,2166,0,3,2714.0,16681.0,Vglut1,1959,1199.4021276595745,1911.9404255319148,9493.402127659574,18499.940425531913,1959_3,4897
0,1563,1971,0,3,2715.0,16486.0,Vglut1,1947,1195.4521668029436,233.14063777596076,9489.452166802943,16821.14063777596,1947_3,4889
0,1565,1985,0,3,2717.0,16500.0,Vglut1,1973,1232.7495590828923,1894.8862433862435,9526.749559082893,18482.886243386245,1973_3,4909
0,1565,2173,0,3,2717.0,16688.0,Vglut1,1959,1199.4021276595745,1911.9404255319148,9493.402127659574,18499.940425531913,1959_3,4897
0,1572,2191,0,3,2724.0,16706.0,Vglut1,1989,1257.298041615667,557.1223990208078,9551.298041615668,17145.12239902081,1989_3,4920
0,1582,2246,0,3,2734.0,16761.0,Vglut1,1999,1274.8218487394959,1156.4207282913164,9568.821848739495,17744.420728291316,1999_3,4927
0,1592,2052,0,3,2744.0,16567.0,Vglut1,2010,1275.1455958549222,87.80673575129534,9569.145595854923,16675.806735751295,2010_3,4935
0,1592,2131,0,3,2744.0,16646.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1596,1902,0,3,2748.0,16417.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1596,2130,0,3,2748.0,16645.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1597,2051,0,3,2749.0,16566.0,Vglut1,2010,1275.1455958549222,87.80673575129534,9569.145595854923,16675.806735751295,2010_3,4935
0,1599,2142,0,3,2751.0,16657.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1600,1906,0,3,2752.0,16421.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1601,2112,0,3,2753.0,16627.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1602,2103,0,3,2754.0,16618.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1604,1894,0,3,2756.0,16409.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1604,1902,0,3,2756.0,16417.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1604,2142,0,3,2756.0,16657.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1608,1896,0,3,2760.0,16411.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1608,2137,0,3,2760.0,16652.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1610,1892,0,3,2762.0,16407.0,Vglut1,2005,1268.5249187432287,1770.8916576381366,9562.52491874323,18358.891657638138,2005_3,4931
0,1612,2096,0,3,2764.0,16611.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1612,2115,0,3,2764.0,16630.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1616,1901,0,3,2768.0,16416.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1616,2115,0,3,2768.0,16630.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1619,1911,0,3,2771.0,16426.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
0,1619,2140,0,3,2771.0,16655.0,Vglut1,2008,1264.475630252101,1890.8,9558.475630252102,18478.8,2008_3,4933
0,1621,1886,0,3,2773.0,16401.0,Vglut1,2025,1277.3030623020063,1481.429778247096,9571.303062302006,18069.429778247097,2025_3,4947
